Section Title,Question Text,Answer Type,Options,Is Scored,Weight,Prefill Source
Availability of RI Services,[1] Are routine EPI/immunization services being provided at this site?,yes_no,Yes | No,true,1.0,
Availability of RI Services,[2] Is there trained health facility staff conducting routine immunization?,yes_no,Yes | No,true,1.0,
Availability of RI Services,[3] Has HF staff received EPI training within the last 2 years?,yes_no,Yes | No,true,1.0,
Availability of RI Services,[4] Is there an updated Health Facility RI micro-plan on site?,yes_no,Yes | No,true,1.0,
Availability of RI Services,[5] Is a copy of the National EPI Field Manual available at the facility?,yes_no,Yes | No,true,1.0,
RI Session Monitoring,[6] How many Fixed Site sessions were planned vs conducted last month?,text,,false,1.0,
RI Session Monitoring,[7] How many Outreach/Mobile visits were conducted during the last month?,number,,false,1.0,
RI Session Monitoring,[8] Were any immunization sessions cancelled during the previous month?,yes_no,Yes | No,true,1.0,
RI Session Monitoring,[9] Are session tally sheets filled correctly and available for review?,yes_no,Yes | No,true,1.0,
RI Session Monitoring,[10] Are defaulter tracking lists updated and used for follow-up?,yes_no,Yes | No,true,1.0,
Advocacy & Social Mobilization,[11] Does the facility have an active Advocacy & Social Mobilization (ACS) plan?,yes_no,Yes | No,true,1.0,
Advocacy & Social Mobilization,[12] Are there active community health committees (VHCC/HC) supporting immunization?,yes_no,Yes | No,true,1.0,
Advocacy & Social Mobilization,[13] Are active community mobilizers/volunteers engaged in social mobilization?,yes_no,Yes | No,true,1.0,
Advocacy & Social Mobilization,[14] Does the health facility have and display IEC materials for routine immunization?,yes_no,Yes | No,true,1.0,
Advocacy & Social Mobilization,[15] Is there a social mobilization strategy for Hard-To-Reach (HTR) populations?,yes_no,Yes | No,true,1.0,
Community Engagement & Caregiver Survey,[16] Are caregivers satisfied with the immunization services provided at the facility?,yes_no,Yes | No,true,1.0,
Community Engagement & Caregiver Survey,[17] Do caregivers bring and present the Child Health Record Book (CHRB) at visits?,yes_no,Yes | No,true,1.0,
Community Engagement & Caregiver Survey,[18] Are key immunization messages (return date, side effects, benefits) communicated to caregivers?,yes_no,Yes | No,true,1.0,
Community Engagement & Caregiver Survey,[19] Are zero-dose or default children actively traced in the community?,yes_no,Yes | No,true,1.0,
Community Engagement & Caregiver Survey,[20] Are caregivers informed of the next scheduled immunization session date?,yes_no,Yes | No,true,1.0,
AEFI Management,[21] Does the health facility have staff trained in AEFI identification and management?,yes_no,Yes | No,true,1.0,
AEFI Management,[22] Were any AEFI cases (minor or major) reported in the last 3 months?,yes_no,Yes | No,true,1.0,
AEFI Management,[23] Is a fully stocked AEFI Management Kit available with unexpired supplies?,yes_no,Yes | No,true,1.0,
AEFI Management,[24] Are standard AEFI reporting forms and investigation protocols available?,yes_no,Yes | No,true,1.0,
AEFI Management,[25] Is the EPI immunisation register updated and available on site?,yes_no,Yes | No,true,1.0,
Cold Chain & Equipment,[26] Is there functioning cold chain equipment (refrigerator/freezer) on site?,yes_no,Yes | No,true,1.0,
Cold Chain & Equipment,[27] Is cold chain equipment placed in a well-ventilated location with easy access?,yes_no,Yes | No,true,1.0,
Cold Chain & Equipment,[28] Is a 30-day electronic temperature logger (Fridge-Tag) present and active?,yes_no,Yes | No,true,1.0,
Cold Chain & Equipment,[29] Is the temperature log chart recorded twice daily and displayed on the equipment?,yes_no,Yes | No,true,1.0,
Cold Chain & Equipment,[30] Does the facility have written SOPs for cold chain maintenance and emergency plans?,yes_no,Yes | No,true,1.0,
Vaccine & Supply Logistics,[31] Does the facility use standard stock ledgers or electronic tools for inventory tracking?,yes_no,Yes | No,true,1.0,
Vaccine & Supply Logistics,[32] Were there any vaccine or diluent stock-outs during the previous month?,yes_no,Yes | No,true,1.0,
Vaccine & Supply Logistics,[33] Are multi-dose vial policy (MDVP) and open-vial rules strictly observed?,yes_no,Yes | No,true,1.0,
Vaccine & Supply Logistics,[34] Are safety boxes used for immediate puncture-proof disposal of syringes and needles?,yes_no,Yes | No,true,1.0,
Vaccine & Supply Logistics,[35] Is medical waste disposed of safely using an incinerator, protected pit, or designated site?,yes_no,Yes | No,true,1.0,
