Section Title,Question Text,Answer Type,Options,Is Scored,Weight,Prefill Source,Help Text,Conditional Parent,Conditional Value
Availability of RI Services,[13] Are routine EPI services being provided at this site?  *,yes_no,Yes | No,true,1.0,,,,
Availability of RI Services,[14] Provide a reason why a Routine EPI/Immunization is not being done at the site?  *,text,,false,1.0,,Ask only if: “Are routine EPI services being provided at this site?” includes “No”,Are routine EPI services being provided at this site?,No
Availability of RI Services,[15] Total number of all staff in the health facility,number,,false,1.0,,"Guidance: Please indicate the total number of all staff in the health facility (Medical, non-medical,administrative, management staff etc)",,
Availability of RI Services,[16] Is there trained HF staff conducting RI?  *,yes_no,Yes | No,true,1.0,,,,
Availability of RI Services,[17] How many HF staff conducting RI are trained?  *,number,,false,1.0,,Ask only if: “Is there trained HF staff conducting RI?” includes “Yes” Guidance: Enter zero or a positive number.,Is there trained HF staff conducting RI?,Yes
Availability of RI Services,[18] Has HF staff received EPI training in last 2 years?  *,yes_no,Yes | No,true,1.0,,,,
Availability of RI Services,[19] Is there a copy of the National EPI field manual?  *,yes_no,Yes | No,true,1.0,,,,
Availability of RI Services,[20] Is there an updated HF RI micro-plan?  *,yes_no,Yes | No,true,1.0,,,,
Availability of RI Services,[21] Is the EPI target population known?  *,yes_no,Yes | No,true,1.0,,,,
Availability of RI Services,[22] What is the annual headcount estimate EPI target population?  *,number,,false,1.0,annual_target_pop,Ask only if: “Is the EPI target population known?” includes “Yes” Guidance: Use annual headcount under one population Enter zero or a positive number.,Is the EPI target population known?,Yes
Availability of RI Services,[23] Is a map of local catchment area displayed?  *,yes_no,Yes | No,true,1.0,,,,
RI Session Monitoring,[24] How many Fixed Site sessions planned per month?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[25] How many Fixed Site sessions conducted last month?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,"[26] How many children were vaccinated for Penta 1 in the last 3 months for all strategies (Fixed, mobile, outreach session)?  *",number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,"[27] How many children were vaccinated for Penta 3 in the last 3 months for all strategies (Fixed, mobile, outreach session)?  *",number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[28] How many women vaccinated for TT (all doses) in the last Fixed Sessions?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[29] How many Mobile visits planned per month?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[30] How may Mobile visits conducted during the last month?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[31] How many Out-Reach visits planned per month?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[32] How many Out-Reach visits conducted last month?  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
RI Session Monitoring,[33] Were any immunization sessions cancelled during the previous month?  *,yes_no,Yes | No,true,1.0,,,,
RI Session Monitoring,"[34] If yes, why were the sessions cancelled?  *",single_select,Option 1 | Option 2 | Option 3,false,1.0,,Ask only if: “Were any immunization sessions cancelled during the previous month?” includes “Yes”,Were any immunization sessions cancelled during the previous month?,Yes
RI Session Monitoring,[35] Are caregivers advised on when to return?  *,yes_no,Yes | No,true,1.0,,,,
RI Session Monitoring,"[36] Are you assessing Advocacy, Communication and Social Mobilization/Health Promotion?  *",yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),[37] Does HF have a ACS plan?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),[38] Is there a ACS plan for hard-to-reach (HTR) population?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),[39] Are there active community health-related committees?  *,yes_no,Yes | No,true,1.0,,,,
